municipio;municipio_normalizado;wifi_wimax_documentado;zonas_wifi_wimax;fibra_propia_documentada;zonas_fibra_propia;servicio_prioritario;respuesta_inicial_para_agente;que_no_debe_decir;cuando_derivar;mensaje_si_da_direccion;fuente
L’Eliana;l eliana;Sí;Pueblo, Monte Alcedo y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En L’Eliana podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En L’Eliana tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
La Pobla de Vallbona;la pobla de vallbona;Sí;Cami La Pobla, Gallipont, Urbanización Camp de Turia, La LLoma Llarga, Placeta de la Cova, La Sima, San Lázaro, Les Penyes, Urb. Maravisa, San Martín, La Malladeta, Maravisa, Poligono Industrial Gutemberg, Virgen de la Lloma Pouet y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En La Pobla de Vallbona podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En La Pobla de Vallbona tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Llíria;lliria;Sí;Casco Urbano, San Gerardo, Vall de Llíria, Edeta, Caramello, El Regalón, Jardín de Lauro, Safareig, Monte Jarque, Oasis de san Vicente, Maimona, San Miguel, Alto de la Botigueta, Puig i Lis, Cañada de Confites, La Buitrera, Las Pedretas, Monte Blanco, Canyada d'amorós, Costa de Tinyent, Camp de Lliria, Calabacín, Moncati, Montearagó, Llano de Bonaire, Monrabana y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Llíria podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Llíria tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Loriguilla;loriguilla;Sí;Casco Urbano y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Loriguilla podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Loriguilla tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Macastre;macastre;Sí;Casco Urbano, Cuerna, Sunsia, Llanorel y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Macastre podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Macastre tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Manises;manises;Sí;Casco Urbano, Poligono Industrial, La presa, La Malla, Collado, Monte Mayor, El Racó y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Manises podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Manises tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Marines;marines;Sí;Casco Urbano, El Romeral y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Marines podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Marines tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Moncada;moncada;Sí;Casco Urbano, Masías, Polígono Moncada I, Polígono Moncada II, Polígono Moncada III, Vall de Flors II y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Moncada podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Moncada tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Montroy;montroy;Sí;Casco Urbano, Balcó, Valletes, Mallars, Las Palomas, El Palmeral, Creueta del Rey, Pouet, Alterón de la Sierra, Bovalar, Atalaya, Puntal de la Alegría y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Montroy podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Montroy tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Montserrat;montserrat;Sí;Casco Urbano, Virgen de Montserrat, L’Alt, El Tros Alt, Urb. Monte Cabrera, Colinas Venta Cabrera, Bon Vent, Colina La Cova, Colonia Baixauli, Colonia Tosal, Ponte Rosado, Urb. Corral del Chupeno, Maset del Pou, Masia del Rector, Montecolorado, Casa Blanca, Santa Clara, La Vinya, Soroixa, Font la Tula, Esmeralda, Canya Primal, Font Mañes, Covatelles, Valletes, Mina la Plata, Sabotea, La Montaña, La Rabassa, Colonia Motor de VIcari y otras urbanizaciones.;Sí;"Casco Urbano; Virgen de Montserrat; Colinas Venta cabrera; Monte Cabrera; L’Alt; Monte Rosado; La Rabasa; Nuestra señora de la Asuncion; Canyada Primal I, II, III; Casa Blanca; La Montaña; Molló Blanc; Motor del Vicari; La Vinya; Corral de Chupeno; Lloma Vaquera; La Amistad; San Joaquin; Font L’Um; Maset del Pou; Bon Vent; La Cova; Charcons; Tosal I y II.";"1º Fibra propia + móvil si la dirección coincide con zona de fibra propia; 2º WIFI/WIMAX + móvil si no coincide; 3º Fibra nacional sujeta a cobertura.";Perfecto. En Montserrat tenemos fibra propia documentada en zonas concretas y también WIFI/WIMAX en varias zonas. Para revisarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No decir que todo el municipio tiene fibra propia. No confirmar cobertura sin dirección exacta. No mezclar cobertura de otro municipio.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Montserrat tenemos fibra propia en zonas concretas y también WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Náquera;naquera;Sí;Las Lomas, La Loma, Mont-Ros y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Náquera podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Náquera tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Olocau;olocau;Sí;Casco Urbano, La Lloma, Pedralvilla, Pla de la Torre, Torre de Portacoeli, Placita de Marco, y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Olocau podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Olocau tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Paterna;paterna;Sí;Casco Urbano, Polígonos Industriales y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Paterna podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Paterna tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Pedralba;pedralba;Sí;Casco Urbano, Les Mallaes y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Pedralba podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Pedralba tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Picassent;picassent;Sí;Alteró Mompoy, La Pedrera, Els Flares y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Picassent podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Picassent tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Quart de Poblet;quart de poblet;Sí;Casco Urbano y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Quart de Poblet podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Quart de Poblet tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Real;real;Sí;Casco Urbano, Serreta Alta, Serreta Baixa y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Real podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Real tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Reva;reva;Sí;Polígono industrial y Urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Reva podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Reva tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Riba-Roja de Turia;riba roja de turia;Sí;Casco Urbano, Urb. Masia traver, Urb. Santa Mónica, Urb. Valencia la vella, Monte Alcedo, Els Pous y otras urbanizaciones.;Sí;"Masia de Traver; Valencia la Vella; Edificio asg Poligono Industrial de La Reva.";"1º Fibra propia + móvil si la dirección coincide con zona de fibra propia; 2º WIFI/WIMAX + móvil si no coincide; 3º Fibra nacional sujeta a cobertura.";Perfecto. En Riba-Roja de Turia tenemos fibra propia documentada en zonas concretas y también WIFI/WIMAX en varias zonas. Para revisarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No decir que todo el municipio tiene fibra propia. No confirmar cobertura sin dirección exacta. No mezclar cobertura de otro municipio.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Riba-Roja de Turia tenemos fibra propia en zonas concretas y también WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
